Question Number,Question,Answer,Category,Difficulty
550,Write a Java program to find the longest common subsequence (LCS) of two strings.,"public class LCS {\n    public static int findLCS(String s1, String s2) {\n        int m = s1.length(), n = s2.length();\n        int[][] dp = new int[m + 1][n + 1];\n        for (int i = 1; i <= m; i++) {\n            for (int j = 1; j <= n; j++) {\n                if (s1.charAt(i - 1) == s2.charAt(j - 1)) {\n                    dp[i][j] = dp[i - 1][j - 1] + 1;\n                } else {\n                    dp[i][j] = Math.max(dp[i - 1][j], dp[i][j - 1]);\n                }\n            }\n        }\n        return dp[m][n];\n    }\n}",Java,Hard
551,Write a Java program to implement a priority queue (heap).,"import java.util.*;\n\nclass MaxHeap {\n    private List<Integer> heap;\n\n    public MaxHeap() {\n        heap = new ArrayList<>();\n    }\n\n    public void insert(int value) {\n        heap.add(value);\n        int index = heap.size() - 1;\n        while (index > 0 && heap.get(index) > heap.get((index - 1) / 2)) {\n            Collections.swap(heap, index, (index - 1) / 2);\n            index = (index - 1) / 2;\n        }\n    }\n\n    public int extractMax() {\n        if (heap.isEmpty()) return -1;\n        int max = heap.get(0);\n        heap.set(0, heap.remove(heap.size() - 1));\n        maxHeapify(0);\n        return max;\n    }\n\n    private void maxHeapify(int index) {\n        int left = 2 * index + 1, right = 2 * index + 2;\n        int largest = index;\n        if (left < heap.size() && heap.get(left) > heap.get(largest)) largest = left;\n        if (right < heap.size() && heap.get(right) > heap.get(largest)) largest = right;\n        if (largest != index) {\n            Collections.swap(heap, index, largest);\n            maxHeapify(largest);\n        }\n    }\n}",Java,Hard
552,Write a Java program to detect a cycle in a directed graph using DFS.,"import java.util.*;\n\nclass Graph {\n    private Map<Integer, List<Integer>> adjList;\n\n    public Graph() {\n        adjList = new HashMap<>();\n    }\n\n    public void addEdge(int u, int v) {\n        adjList.computeIfAbsent(u, k -> new ArrayList<>()).add(v);\n    }\n\n    public boolean detectCycle() {\n        Set<Integer> visited = new HashSet<>();\n        Set<Integer> recStack = new HashSet<>();\n\n        for (int node : adjList.keySet()) {\n            if (!visited.contains(node)) {\n                if (detectCycleHelper(node, visited, recStack)) {\n                    return true;\n                }\n            }\n        }\n        return false;\n    }\n\n    private boolean detectCycleHelper(int node, Set<Integer> visited, Set<Integer> recStack) {\n        visited.add(node);\n        recStack.add(node);\n        for (int neighbor : adjList.getOrDefault(node, Collections.emptyList())) {\n            if (!visited.contains(neighbor) && detectCycleHelper(neighbor, visited, recStack)) return true;\n            if (recStack.contains(neighbor)) return true;\n        }\n        recStack.remove(node);\n        return false;\n    }\n}",Java,Hard
553,Write a Java program to implement a binary search tree (BST).,"public class BinarySearchTree {\n    private Node root;\n\n    private static class Node {\n        int value;\n        Node left, right;\n        public Node(int value) {\n            this.value = value;\n            left = right = null;\n        }\n    }\n\n    public void insert(int value) {\n        root = insertRec(root, value);\n    }\n\n    private Node insertRec(Node root, int value) {\n        if (root == null) {\n            root = new Node(value);\n            return root;\n        }\n        if (value < root.value) root.left = insertRec(root.left, value);\n        else if (value > root.value) root.right = insertRec(root.right, value);\n        return root;\n    }\n\n    public void inorder() {\n        inorderRec(root);\n    }\n\n    private void inorderRec(Node root) {\n        if (root != null) {\n            inorderRec(root.left);\n            System.out.print(root.value + \ \"");\n            inorderRec(root.right);\n        }\n    }\n}""",Java,Hard
554,Write a Java program to implement the Knapsack problem using dynamic programming.,"public class Knapsack {\n    public static int knapSack(int W, int[] wt, int[] val, int n) {\n        int[][] dp = new int[n + 1][W + 1];\n        for (int i = 0; i <= n; i++) {\n            for (int w = 0; w <= W; w++) {\n                if (i == 0 || w == 0) dp[i][w] = 0;\n                else if (wt[i - 1] <= w) dp[i][w] = Math.max(val[i - 1] + dp[i - 1][w - wt[i - 1]], dp[i - 1][w]);\n                else dp[i][w] = dp[i - 1][w];\n            }\n        }\n        return dp[n][W];\n    }\n}",Java,Hard
555,Write a Java program to find the longest increasing subsequence (LIS) in a sequence of numbers.,"public class LIS {\n    public static int longestIncreasingSubsequence(int[] nums) {\n        int n = nums.length;\n        int[] dp = new int[n];\n        Arrays.fill(dp, 1);\n        for (int i = 1; i < n; i++) {\n            for (int j = 0; j < i; j++) {\n                if (nums[i] > nums[j]) dp[i] = Math.max(dp[i], dp[j] + 1);\n            }\n        }\n        return Arrays.stream(dp).max().getAsInt();\n    }\n}",Java,Hard
556,Write a Java program to implement a disjoint set (union-find) data structure.,"public class DisjointSet {\n    private int[] parent, rank;\n\n    public DisjointSet(int size) {\n        parent = new int[size];\n        rank = new int[size];\n        for (int i = 0; i < size; i++) parent[i] = i;\n    }\n\n    public int find(int x) {\n        if (parent[x] != x) parent[x] = find(parent[x]);\n        return parent[x];\n    }\n\n    public void union(int x, int y) {\n        int rootX = find(x), rootY = find(y);\n        if (rootX != rootY) {\n            if (rank[rootX] < rank[rootY]) parent[rootX] = rootY;\n            else if (rank[rootX] > rank[rootY]) parent[rootY] = rootX;\n            else {\n                parent[rootY] = rootX;\n                rank[rootX]++;\n            }\n        }\n    }\n}",Java,Hard
557,Write a Java program to solve the N-Queens problem using backtracking.,"public class NQueens {\n    public static boolean isSafe(int[][] board, int row, int col) {\n        for (int i = 0; i < col; i++) if (board[row][i] == 1) return false;\n        for (int i = row, j = col; i >= 0 && j >= 0; i--, j--) if (board[i][j] == 1) return false;\n        for (int i = row, j = col; j >= 0 && i < board.length; i++, j--) if (board[i][j] == 1) return false;\n        return true;\n    }\n\n    public static boolean solveNQueens(int[][] board, int col) {\n        if (col >= board.length) return true;\n        for (int i = 0; i < board.length; i++) {\n            if (isSafe(board, i, col)) {\n                board[i][col] = 1;\n                if (solveNQueens(board, col + 1)) return true;\n                board[i][col] = 0;\n            }\n        }\n        return false;\n    }\n\n    public static void printBoard(int[][] board) {\n        for (int i = 0; i < board.length; i++) {\n            for (int j = 0; j < board[i].length; j++) {\n                System.out.print(board[i][j] == 1 ? \Q\"" : \"".\"");\n            }\n            System.out.println();\n        }\n    }\n}""",Java,Hard
558,Write a JavaScript function to find the factorial of a number.,function factorial(n) {\n    if (n === 0) return 1;\n    return n * factorial(n - 1);\n},JavaScript,Easy
559,Write a JavaScript function to check if a number is prime.,function isPrime(n) {\n    if (n <= 1) return false;\n    for (let i = 2; i <= Math.sqrt(n); i++) {\n        if (n % i === 0) return false;\n    }\n    return true;\n},JavaScript,Easy
560,Write a JavaScript function to find the largest number in an array.,function largestElement(arr) {\n    return Math.max(...arr);\n},JavaScript,Easy
561,Write a JavaScript function to reverse an array.,function reverseArray(arr) {\n    return arr.reverse();\n},JavaScript,Easy
562,Write a JavaScript function to check if a string is a palindrome.,function isPalindrome(str) {\n    let reversed = str.split('').reverse().join('');\n    return str === reversed;\n},JavaScript,Easy
563,Write a JavaScript function to calculate the sum of digits of a number.,function sumOfDigits(num) {\n    let sum = 0;\n    while (num > 0) {\n        sum += num % 10;\n        num = Math.floor(num / 10);\n    }\n    return sum;\n},JavaScript,Easy
564,Write a JavaScript function to count occurrences of a character in a string.,"function countOccurrences(str, char) {\n    return str.split(char).length - 1;\n}",JavaScript,Easy
565,Write a JavaScript function to print Fibonacci numbers up to nth position.,"function fibonacci(n) {\n    let a = 0, b = 1;\n    for (let i = 0; i < n; i++) {\n        console.log(a);\n        let temp = a;\n        a = b;\n        b = temp + b;\n    }\n}",JavaScript,Easy
566,Write a JavaScript function to find the minimum element in an array.,function minimumElement(arr) {\n    return Math.min(...arr);\n},JavaScript,Easy
567,Write a JavaScript function to remove duplicates from an array.,function removeDuplicates(arr) {\n    return [...new Set(arr)];\n},JavaScript,Easy
568,Write a JavaScript function to implement binary search.,"function binarySearch(arr, target) {\n    let left = 0, right = arr.length - 1;\n    while (left <= right) {\n        let mid = Math.floor((left + right) / 2);\n        if (arr[mid] === target) return mid;\n        else if (arr[mid] < target) left = mid + 1;\n        else right = mid - 1;\n    }\n    return -1;\n}",JavaScript,Medium
569,Write a JavaScript function to find common elements between two arrays.,"function commonElements(arr1, arr2) {\n    return arr1.filter(value => arr2.includes(value));\n}",JavaScript,Medium
570,Write a JavaScript function to implement a stack.,class Stack {\n    constructor() {\n        this.stack = [];\n    }\n    push(value) {\n        this.stack.push(value);\n    }\n    pop() {\n        if (this.stack.length === 0) return null;\n        return this.stack.pop();\n    }\n    isEmpty() {\n        return this.stack.length === 0;\n    }\n},JavaScript,Medium
571,Write a JavaScript function to check if two strings are anagrams of each other.,"function areAnagrams(str1, str2) {\n    if (str1.length !== str2.length) return false;\n    return str1.split('').sort().join('') === str2.split('').sort().join('');\n}",JavaScript,Medium
572,Write a JavaScript function to implement merge sort.,"function mergeSort(arr) {\n    if (arr.length <= 1) return arr;\n    const mid = Math.floor(arr.length / 2);\n    const left = mergeSort(arr.slice(0, mid));\n    const right = mergeSort(arr.slice(mid));\n    return merge(left, right);\n}\nfunction merge(left, right) {\n    let result = [], i = 0, j = 0;\n    while (i < left.length && j < right.length) {\n        if (left[i] < right[j]) result.push(left[i++]);\n        else result.push(right[j++]);\n    }\n    return result.concat(left.slice(i), right.slice(j));\n}",JavaScript,Medium
573,Write a JavaScript function to implement a queue.,class Queue {\n    constructor() {\n        this.queue = [];\n    }\n    enqueue(value) {\n        this.queue.push(value);\n    }\n    dequeue() {\n        if (this.queue.length === 0) return null;\n        return this.queue.shift();\n}\n    isEmpty() {\n        return this.queue.length === 0;\n    }\n},JavaScript,Medium
574,Write a JavaScript function to find the longest common subsequence of two strings.,"function lcs(str1, str2) {\n    let dp = Array.from(Array(str1.length + 1), () => Array(str2.length + 1).fill(0));\n    for (let i = 1; i <= str1.length; i++) {\n        for (let j = 1; j <= str2.length; j++) {\n            if (str1[i - 1] === str2[j - 1]) dp[i][j] = dp[i - 1][j - 1] + 1;\n            else dp[i][j] = Math.max(dp[i - 1][j], dp[i][j - 1]);\n        }\n    }\n    return dp[str1.length][str2.length];\n}",JavaScript,Medium
575,Write a JavaScript function to detect a cycle in a directed graph.,"function detectCycle(V, adj) {\n    let visited = Array(V).fill(false);\n    let recStack = Array(V).fill(false);\n    for (let i = 0; i < V; i++) {\n        if (detectCycleUtil(i, adj, visited, recStack)) return true;\n    }\n    return false;\n}\nfunction detectCycleUtil(v, adj, visited, recStack) {\n    if (recStack[v]) return true;\n    if (visited[v]) return false;\n    visited[v] = recStack[v] = true;\n    for (let u of adj[v]) {\n        if (detectCycleUtil(u, adj, visited, recStack)) return true;\n    }\n    recStack[v] = false;\n    return false;\n}",JavaScript,Medium
576,Write a JavaScript function to implement a heap.,"class MinHeap {\n    constructor() {\n        this.heap = [];\n    }\n    insert(val) {\n        this.heap.push(val);\n        this.bubbleUp();\n    }\n    bubbleUp() {\n        let index = this.heap.length - 1;\n        while (index > 0) {\n            let parentIndex = Math.floor((index - 1) / 2);\n            if (this.heap[index] >= this.heap[parentIndex]) break;\n            [this.heap[index], this.heap[parentIndex]] = [this.heap[parentIndex], this.heap[index]];\n            index = parentIndex;\n        }\n    }\n    extractMin() {\n        if (this.heap.length === 0) return null;\n        const min = this.heap[0];\n        const last = this.heap.pop();\n        if (this.heap.length > 0) {\n            this.heap[0] = last;\n            this.sinkDown(0);\n        }\n        return min;\n    }\n    sinkDown(index) {\n        let leftChildIndex = 2 * index + 1;\n        let rightChildIndex = 2 * index + 2;\n        let smallest = index;\n        if (leftChildIndex < this.heap.length && this.heap[leftChildIndex] < this.heap[smallest]) {\n            smallest = leftChildIndex;\n        }\n        if (rightChildIndex < this.heap.length && this.heap[rightChildIndex] < this.heap[smallest]) {\n            smallest = rightChildIndex;\n        }\n        if (smallest !== index) {\n            [this.heap[index], this.heap[smallest]] = [this.heap[smallest], this.heap[index]];\n            this.sinkDown(smallest);\n        }\n    }\n}",JavaScript,Medium
577,Write a JavaScript function to find the kth largest element in an array.,"function kthLargest(arr, k) {\n    arr.sort((a, b) => b - a);\n    return arr[k - 1];\n}",JavaScript,Medium
578,Write a JavaScript function to implement a deep clone of an object.,function deepClone(obj) {\n    if (obj === null || typeof obj !== 'object') return obj;\n    let clone = Array.isArray(obj) ? [] : {};\n    for (let key in obj) {\n        if (obj.hasOwnProperty(key)) {\n            clone[key] = deepClone(obj[key]);\n        }\n    }\n    return clone;\n},JavaScript,Hard
579,Write a JavaScript function to implement a debounce mechanism.,"function debounce(func, delay) {\n    let timer;\n    return function(...args) {\n        clearTimeout(timer);\n        timer = setTimeout(() => func(...args), delay);\n    };\n}",JavaScript,Hard
580,Write a JavaScript function to implement a promise-based async watermill (rate limiting).,"function watermill(func, limit) {\n    let queue = [];\n    let activeCount = 0;\n    function process() {\n        if (queue.length === 0 || activeCount >= limit) return;\n        activeCount++;\n        let { resolve, reject, args } = queue.shift();\n        func(...args).then(resolve).catch(reject).finally(() => {\n            activeCount--;\n            process();\n        });\n    }\n    return function(...args) {\n        return new Promise((resolve, reject) => {\n            queue.push({ resolve, reject, args });\n            process();\n        });\n    };\n}",JavaScript,Hard
581,"Write a JavaScript function to implement the ""throttle"" function.","function throttle(func, limit) {\n    let lastFunc,\n        lastRan = 0;\n    return function() {\n        const context = this,\n            args = arguments;\n        if (!lastRan) {\n            func.apply(context, args);\n            lastRan = Date.now();\n        } else {\n            clearTimeout(lastFunc);\n            lastFunc = setTimeout(function() {\n                if (Date.now() - lastRan >= limit) {\n                    func.apply(context, args);\n                    lastRan = Date.now();\n                }\n            }, limit - (Date.now() - lastRan));\n        }\n    };\n}",JavaScript,Hard
582,Write a JavaScript function to implement quicksort algorithm.,"function quickSort(arr) {\n    if (arr.length <= 1) return arr;\n    let pivot = arr[arr.length - 1];\n    let left = [], right = [];\n    for (let i = 0; i < arr.length - 1; i++) {\n        if (arr[i] < pivot) left.push(arr[i]);\n        else right.push(arr[i]);\n    }\n    return [...quickSort(left), pivot, ...quickSort(right)];\n}",JavaScript,Hard
583,Write a JavaScript function to implement a circular queue.,class CircularQueue {\n    constructor(size) {\n        this.queue = Array(size);\n        this.front = 0;\n        this.rear = 0;\n        this.size = size;\n    }\n    enqueue(value) {\n        if ((this.rear + 1) % this.size === this.front) {\n            throw new Error('Queue is full');\n        }\n        this.queue[this.rear] = value;\n        this.rear = (this.rear + 1) % this.size;\n    }\n    dequeue() {\n        if (this.front === this.rear) {\n            throw new Error('Queue is empty');\n        }\n        const value = this.queue[this.front];\n        this.front = (this.front + 1) % this.size;\n        return value;\n    }\n    isEmpty() {\n        return this.front === this.rear;\n    }\n},JavaScript,Hard
584,Write a JavaScript function to implement the A* (A-star) pathfinding algorithm.,"function aStar(grid, start, end) {\n    let openList = [start];\n    let closedList = [];\n    let gScores = {[start]: 0};\n    let fScores = {[start]: heuristic(start, end)};\n    let cameFrom = {};\n    while (openList.length > 0) {\n        let current = openList.reduce((lowest, node) => fScores[node] < fScores[lowest] ? node : lowest, openList[0]);\n        if (current === end) {\n            let path = [];\n            while (current) {\n                path.unshift(current);\n                current = cameFrom[current];\n            }\n            return path;\n        }\n        openList = openList.filter(node => node !== current);\n        closedList.push(current);\n        for (let neighbor of getNeighbors(current, grid)) {\n            if (closedList.includes(neighbor)) continue;\n            let tentativeGScore = gScores[current] + distance(current, neighbor);\n            if (!openList.includes(neighbor)) openList.push(neighbor);\n            else if (tentativeGScore >= gScores[neighbor]) continue;\n            cameFrom[neighbor] = current;\n            gScores[neighbor] = tentativeGScore;\n            fScores[neighbor] = gScores[neighbor] + heuristic(neighbor, end);\n        }\n    }\n    return [];\n}\nfunction heuristic(a, b) {...}\nfunction getNeighbors(node, grid) {...}\nfunction distance(a, b) {...}",JavaScript,Hard
585,Write a JavaScript function to detect a cycle in an undirected graph using DFS.,function hasCycle(graph) {\n    let visited = new Set();\n    let parent = {};\n    function dfs(node) {\n        visited.add(node);\n        for (let neighbor of graph[node]) {\n            if (!visited.has(neighbor)) {\n                parent[neighbor] = node;\n                if (dfs(neighbor)) return true;\n            } else if (parent[node] !== neighbor) {\n                return true;\n}\n        }\n        return false;\n    }\n    return dfs(Object.keys(graph)[0]);\n},JavaScript,Hard
586,Write a JavaScript function to implement a Trie (Prefix Tree).,class TrieNode {\n    constructor() {\n        this.children = {};\n        this.isEndOfWord = false;\n    }\n}\nclass Trie {\n    constructor() {\n        this.root = new TrieNode();\n    }\n    insert(word) {\n        let node = this.root;\n        for (let char of word) {\n            if (!node.children[char]) node.children[char] = new TrieNode();\n            node = node.children[char];\n        }\n        node.isEndOfWord = true;\n    }\n    search(word) {\n        let node = this.root;\n        for (let char of word) {\n            if (!node.children[char]) return false;\n            node = node.children[char];\n        }\n        return node.isEndOfWord;\n    }\n    startsWith(prefix) {\n        let node = this.root;\n        for (let char of prefix) {\n            if (!node.children[char]) return false;\n            node = node.children[char];\n        }\n        return true;\n    }\n},JavaScript,Hard
587,Write a JavaScript function to find the shortest path in a graph using Dijkstra's Algorithm.,"function dijkstra(graph, start) {\n    let distances = {};\n    let pq = new PriorityQueue();\n    graph.forEach((_, node) => distances[node] = Infinity);\n    distances[start] = 0;\n    pq.enqueue(start, 0);\n    while (!pq.isEmpty()) {\n        let currentNode = pq.dequeue();\n        let currentDistance = distances[currentNode];\n        for (let neighbor in graph[currentNode]) {\n            let newDist = currentDistance + graph[currentNode][neighbor];\n            if (newDist < distances[neighbor]) {\n                distances[neighbor] = newDist;\n                pq.enqueue(neighbor, newDist);\n            }\n        }\n    }\n    return distances;\n}",JavaScript,Hard
588,What is Python used for?,"Python is a general-purpose language used in web development, data science, AI, scripting, and automation.",Languages and Frameworks,Easy
589,What is Java mainly used for?,"Java is used in web apps, enterprise applications, Android development, and desktop applications.",Languages and Frameworks,Easy
590,What is the difference between C and C++?,"C is a procedural language, while C++ supports both procedural and object-oriented programming.",Languages and Frameworks,Easy
591,What are frameworks?,Frameworks are pre-written code libraries that provide structure and tools for building applications efficiently.,Languages and Frameworks,Easy
592,What is Node.js?,Node.js is a runtime environment that allows executing JavaScript code on the server side.,Languages and Frameworks,Easy
593,What is the main feature of JavaScript?,"JavaScript is a dynamic, client-side scripting language used for creating interactive web pages.",Languages and Frameworks,Easy
594,What is the role of HTML in web development?,"HTML is used to structure content on the web using tags like headings, paragraphs, links, etc.",Languages and Frameworks,Easy
595,What is CSS used for?,CSS is used for styling and designing the layout of web pages.,Languages and Frameworks,Easy
596,What is TypeScript?,TypeScript is a statically typed superset of JavaScript that adds type checking to JavaScript.,Languages and Frameworks,Easy
597,What is a compiled language?,"A compiled language is converted to machine code by a compiler before execution (e.g., C, Java).",Languages and Frameworks,Easy
598,What is the difference between Java and JavaScript?,"Java is a compiled, statically-typed language used for server-side, mobile, and desktop apps. JavaScript is an interpreted, dynamically-typed language for web development.",Languages and Frameworks,Medium
599,Describe the MVC architectural pattern.,"MVC divides an application into Model (data), View (UI), and Controller (input handling), promoting separation of concerns.",Languages and Frameworks,Medium
600,What is a RESTful API?,"RESTful API is a web service implementation using HTTP methods to perform CRUD operations on resources, adhering to stateless, client-server architecture.",Languages and Frameworks,Medium
601,"Explain the use of ""this"" keyword in JavaScript.","""this"" in JavaScript refers to the execution context, varying based on function calling, global scope, or event handlers.",Languages and Frameworks,Medium
602,What is a closure in programming?,A closure is a function with access to its outer scope variables even after the outer function has executed.,Languages and Frameworks,Medium
603,What are the differences between Python 2 and Python 3?,"Python 3 has print as a function, true division, Unicode support by default, and different syntax for exceptions, unlike Python 2.",Languages and Frameworks,Medium
604,Explain the concept of multi-threading in Java.,"Multi-threading in Java allows concurrent execution of multiple threads, improving application responsiveness and performance.",Languages and Frameworks,Medium
605,What is a Singleton pattern?,"Singleton ensures a class has only one instance and provides a global access point to it, useful for shared resources.",Languages and Frameworks,Medium
606,What is a virtual function in C++?,"Virtual functions in C++ allow derived classes to override them, enabling runtime polymorphism and dynamic method dispatch.",Languages and Frameworks,Medium
607,What are the features of Python?,"Python features include dynamic typing, readability, extensive libraries, and strong community support.",Languages and Frameworks,Medium
608,How is memory managed in Java?,"Java uses automatic garbage collection to manage memory, removing unused objects from the heap.",Languages and Frameworks,Medium
609,What is the difference between synchronous and asynchronous in JavaScript?,"Synchronous code runs in sequence, while asynchronous code can execute without blocking the main thread.",Languages and Frameworks,Medium
610,What are decorators in Python?,Decorators are functions that modify the behavior of other functions or methods.,Languages and Frameworks,Medium
611,What is the difference between REST and GraphQL?,REST exposes endpoints and uses HTTP methods; GraphQL allows clients to request exactly the data they need.,Languages and Frameworks,Medium
612,What are lambda functions in Python?,"Lambda functions are anonymous functions defined using the lambda keyword, used for small operations.",Languages and Frameworks,Medium
613,What is dependency injection?,Dependency injection is a design pattern where dependencies are provided rather than hardcoded inside components.,Languages and Frameworks,Medium
614,Explain the concept of 'this' in JavaScript.,"'this' refers to the object from which the function was called, varying by execution context.",Languages and Frameworks,Medium
615,What is the difference between interface and abstract class in Java?,Interfaces define methods without implementation; abstract classes can have both defined and abstract methods.,Languages and Frameworks,Medium
616,What is event loop in Node.js?,"The event loop handles asynchronous operations, allowing Node.js to execute non-blocking I/O.",Languages and Frameworks,Medium
617,Discuss the role of a package manager like npm or pip.,"Package managers manage installation, update, and dependency resolution of libraries, simplifying library management in development.",Languages and Frameworks,Hard
618,What are promises in JavaScript?,Promises represent eventual completion or failure of asynchronous operations.,Languages and Frameworks,Hard
619,What is multithreading in Java?,Multithreading allows concurrent execution of two or more threads for maximum CPU utilization.,Languages and Frameworks,Hard
620,What is the GIL in Python?,GIL (Global Interpreter Lock) prevents multiple native threads from executing Python bytecodes simultaneously.,Languages and Frameworks,Hard
621,What is memoization in functional programming?,Memoization is an optimization technique that stores the results of expensive function calls.,Languages and Frameworks,Hard
622,How is inheritance handled in C++?,"C++ supports single, multiple, multilevel, and hybrid inheritance using class hierarchies.",Languages and Frameworks,Hard
623,Explain closures in JavaScript.,Closures are functions that retain access to variables from their lexical scope even after the outer function ends.,Languages and Frameworks,Hard
624,What is metaprogramming in Python?,"Metaprogramming refers to writing code that manipulates code, often via decorators or metaclasses.",Languages and Frameworks,Hard
625,Explain currying with an example.,Currying is a technique where a function is broken down into a series of functions each taking one argument.,Languages and Frameworks,Hard
626,What is transpilation?,"Transpilation is converting code from one language/version to another, like TypeScript to JavaScript.",Languages and Frameworks,Hard
627,How is memory management different in C++ compared to Java?,"C++ requires manual memory management using new/delete, while Java uses garbage collection.",Languages and Frameworks,Hard
628,What is an operating system?,An OS manages hardware and software resources and provides common services for programs.,Low-Level System,Easy
629,What is a process?,A process is an instance of a running program.,Low-Level System,Easy
630,What is a thread?,A thread is the smallest unit of execution within a process.,Low-Level System,Easy
631,What is a file system?,A file system manages how data is stored and retrieved on a disk.,Low-Level System,Easy
632,What is virtual memory?,Virtual memory allows programs to use more memory than physically available by using disk space.,Low-Level System,Easy
633,What is a kernel?,The kernel is the core part of an OS that manages system resources.,Low-Level System,Easy
634,What is context switching?,Context switching is saving and loading process states when switching between processes.,Low-Level System,Easy
635,What is an interrupt?,An interrupt is a signal to the processor to stop current tasks and execute a higher-priority task.,Low-Level System,Easy
636,What is system call?,A system call is a way for programs to request services from the OS kernel.,Low-Level System,Easy
637,What is paging?,Paging is a memory management scheme that eliminates the need for contiguous memory allocation.,Low-Level System,Easy
638,What is memory-mapped I/O?,Memory-mapped I/O allows hardware devices to be controlled using standard memory instructions.,Low-Level System,Medium
639,What is the difference between user space and kernel space?,User space is where applications run; kernel space is where the OS core operates with full privileges.,Low-Level System,Medium
640,What is a race condition?,A race condition occurs when multiple threads access shared data concurrently and the outcome depends on timing.,Low-Level System,Medium
641,What is a deadlock?,Deadlock is a situation where two or more processes are blocked waiting for each other to release resources.,Low-Level System,Medium
642,What is a semaphore?,A semaphore is a synchronization primitive used to control access to a shared resource.,Low-Level System,Medium
643,What is a mutex?,A mutex is a lock used to ensure only one thread accesses a resource at a time.,Low-Level System,Medium
644,What is stack vs heap memory?,"Stack is for static memory allocation, heap is for dynamic allocation during runtime.",Low-Level System,Medium
645,What is a memory leak?,A memory leak occurs when memory that is no longer needed is not released.,Low-Level System,Medium
646,What is thread-safe code?,Thread-safe code can be safely executed by multiple threads concurrently without causing issues.,Low-Level System,Medium
647,What is a scheduler in an operating system?,A scheduler decides which process or thread gets CPU time and in what order.,Low-Level System,Medium
648,How does virtual memory translate addresses?,Virtual addresses are translated to physical addresses using page tables and TLBs.,Low-Level System,Hard
649,What is a page fault?,A page fault occurs when a program accesses a page not currently mapped in physical memory.,Low-Level System,Hard
650,What is a kernel panic?,A kernel panic is a critical system error that halts the OS due to unrecoverable faults.,Low-Level System,Hard
651,How does process isolation work in operating systems?,Process isolation ensures each process runs in its own protected memory space.,Low-Level System,Hard
652,What is copy-on-write in process management?,"Copy-on-write delays copying memory until a modification occurs, optimizing forked processes.",Low-Level System,Hard
653,What is an interrupt vector table?,It's a data structure storing the addresses of all interrupt service routines.,Low-Level System,Hard
654,What is a real-time operating system (RTOS)?,An RTOS is designed for real-time applications with deterministic timing behavior.,Low-Level System,Hard
655,How do system calls switch from user to kernel mode?,System calls use a trap or interrupt instruction to switch modes and enter kernel space.,Low-Level System,Hard
656,What is DMA (Direct Memory Access)?,"DMA allows devices to access main memory without CPU involvement, improving efficiency.",Low-Level System,Hard
657,How do operating systems handle multitasking?,"OSes use time slicing, context switching, and priority scheduling to manage multiple tasks.",Low-Level System,Hard
658,Implement a garbage collector for a programming language.,"Understand memory management concepts like mark-and-sweep, reference counting, and generational collection.",Low-level Systems,Hard
659,Write a custom memory allocator for a C++ application.,"Discuss memory pool allocation, handling fragmentation, and optimizing for allocation/deallocation speed.",Low-level Systems,Hard
660,Build a compiler for a new programming language.,"Discuss lexical analysis, parsing, syntax tree generation, semantic analysis, and code generation.",Low-level Systems,Hard
661,What is machine learning?,Machine learning is a subset of AI where systems learn from data to make predictions or decisions without being explicitly programmed.,Machine Learning,Easy
662,What is supervised learning?,"Supervised learning involves training a model on labeled data, where the input data is paired with the correct output.",Machine Learning,Easy
663,What is unsupervised learning?,"Unsupervised learning involves training a model on unlabeled data, where the system finds hidden patterns or structures in the data.",Machine Learning,Easy
664,What is overfitting?,"Overfitting occurs when a model learns the noise in the training data rather than general patterns, leading to poor performance on unseen data.",Machine Learning,Easy
665,What is underfitting?,"Underfitting occurs when a model is too simple to capture the underlying patterns in the data, resulting in poor performance.",Machine Learning,Easy
666,What is cross-validation?,Cross-validation is a technique used to assess the performance of a model by splitting the data into training and validation sets multiple times.,Machine Learning,Easy
667,What is a decision tree?,A decision tree is a supervised learning algorithm that splits data into subsets based on feature values to make predictions.,Machine Learning,Easy
668,What is a neural network?,"A neural network is a computational model inspired by the human brain, consisting of layers of interconnected nodes (neurons) that process data.",Machine Learning,Easy
669,What is the difference between classification and regression?,"Classification involves predicting categorical labels, while regression involves predicting continuous numerical values.",Machine Learning,Easy
670,What is feature engineering?,"Feature engineering is the process of selecting, modifying, or creating new features from raw data to improve model performance.",Machine Learning,Easy
671,What is machine learning?,Machine learning is a subset of AI where systems learn patterns from data to make decisions or predictions.,Machine Learning,Easy
672,What are the types of machine learning?,"Supervised, unsupervised, semi-supervised, and reinforcement learning.",Machine Learning,Easy
673,What is supervised learning?,A method where models are trained on labeled data to predict outcomes.,Machine Learning,Easy
674,What is overfitting in ML?,Overfitting occurs when a model performs well on training data but poorly on unseen data.,Machine Learning,Easy
675,What is underfitting?,Underfitting occurs when a model is too simple to learn patterns in the training data.,Machine Learning,Easy
676,What is a feature in ML?,A feature is an individual measurable property or characteristic used in prediction.,Machine Learning,Easy
677,What is a training set?,The dataset used to train a machine learning model.,Machine Learning,Easy
678,What is a test set?,A dataset used to evaluate the performance of a trained ML model.,Machine Learning,Easy
679,What is the purpose of cross-validation?,Cross-validation helps in evaluating the model's performance by splitting data into different training and validation sets.,Machine Learning,Easy
680,What is a confusion matrix?,"A table showing true vs predicted values, used for evaluating classification models.",Machine Learning,Easy
